user,timestamp,leaflet_id,imagefile,feature_type,radius,geometry,species,Size_class,veg_layer,dd1,dd2,dd3,plot,plot_name_new,frame
Scorer_3,##------ Thu Jun  8 12:28:08 2023 ------##,pin_8,20220807_143317_GS010324_Frame_000375_with_overlay.jpg,marker,NA,POINT (130.714317 -25.348877),2-5 Allocasuarina decaisneana Early Mature (>6m V branches),Early_Mature,Tree,100,97.5,87.5,20220807_143317_GS010324,plot_06_new,20220807_143317_GS010324_Frame_000375
Scorer_3,##------ Thu Jun  8 13:17:08 2023 ------##,pin_38,20220807_145534_GS010325_Frame_001104_with_overlay.jpg,marker,NA,POINT (130.7226 -25.348499),2-5 Allocasuarina decaisneana Juvenile (1-4m),Juvenile,Tree,100,100,87.5,20220807_145534_GS010325,plot_06_new,20220807_145534_GS010325_Frame_001104
Scorer_3,##------ Tue Jun 13 14:37:23 2023 ------##,pin_17,20220807_152153_GS010326_Frame_000211_with_overlay.jpg,marker,NA,POINT (130.724145 -25.351374),2-5 Allocasuarina decaisneana Juvenile (1-4m),Juvenile,Tree,100,0,-999,20220807_152153_GS010326,plot_06_new,20220807_152153_GS010326_Frame_000211
Scorer_3,##------ Tue Jun 13 14:50:08 2023 ------##,pin_9,20220807_152153_GS010326_Frame_000274_with_overlay.jpg,marker,NA,POINT (130.723952 -25.352113),2-5 Allocasuarina decaisneana Juvenile (1-4m),Juvenile,Tree,100,0,-999,20220807_152153_GS010326,plot_06_new,20220807_152153_GS010326_Frame_000274
Scorer_3,##------ Thu Jun  8 12:28:08 2023 ------##,pin_9,20220807_143317_GS010324_Frame_000375_with_overlay.jpg,marker,NA,POINT (130.714285 -25.348901),2-5 Allocasuarina decaisneana Late Pole (4-6m clear crown),Late_Pole,Tree,100,0,-999,20220807_143317_GS010324,plot_06_new,20220807_143317_GS010324_Frame_000375
Scorer_3,##------ Tue Jun 13 15:09:53 2023 ------##,pin_29,20220807_152153_GS010326_Frame_000546_with_overlay.jpg,marker,NA,POINT (130.722031 -25.354389),2-5 Allocasuarina decaisneana Late Pole (4-6m clear crown),Late_Pole,Tree,100,97.5,87.5,20220807_152153_GS010326,plot_06_new,20220807_152153_GS010326_Frame_000546
Scorer_3,##------ Tue Jun 13 14:50:08 2023 ------##,pin_8,20220807_152153_GS010326_Frame_000274_with_overlay.jpg,marker,NA,POINT (130.723882 -25.352033),2-5 Allocasuarina decaisneana Seedling (<1m),Seedling,Tree,100,0,-999,20220807_152153_GS010326,plot_06_new,20220807_152153_GS010326_Frame_000274
Scorer_3,##------ Thu Jun  8 11:16:50 2023 ------##,pin_17,20220807_143317_GS010324_Frame_000001_with_overlay.jpg,marker,NA,POINT (130.713271 -25.352246),Allocasuarina decaisneana Early Mature (>6m V branches),Early_Mature,Tree,100,100,87.5,20220807_143317_GS010324,plot_06_new,20220807_143317_GS010324_Frame_000001
Scorer_3,##------ Thu Jun  8 12:25:51 2023 ------##,pin_7,20220807_143317_GS010324_Frame_000357_with_overlay.jpg,marker,NA,POINT (130.714114 -25.349016),Allocasuarina decaisneana Early Mature (>6m V branches),Early_Mature,Tree,100,87.5,87.5,20220807_143317_GS010324,plot_06_new,20220807_143317_GS010324_Frame_000357
Scorer_3,##------ Thu Jun  8 12:34:43 2023 ------##,pin_10,20220807_143317_GS010324_Frame_000644_with_overlay.jpg,marker,NA,POINT (130.715369 -25.34654),Allocasuarina decaisneana Early Mature (>6m V branches),Early_Mature,Tree,100,100,87.5,20220807_143317_GS010324,plot_06_new,20220807_143317_GS010324_Frame_000644
Scorer_3,##------ Tue Jun 13 14:27:16 2023 ------##,pin_5,20220807_152153_GS010326_Frame_000164_with_overlay.jpg,marker,NA,POINT (130.724145 -25.350598),Allocasuarina decaisneana Early Mature (>6m V branches),Early_Mature,Tree,100,87.5,72.5,20220807_152153_GS010326,plot_06_new,20220807_152153_GS010326_Frame_000164
Scorer_3,##------ Fri Jun 23 11:10:45 2023 ------##,pin_8,20220807_153842_GS010327_Frame_001525_with_overlay.jpg,marker,NA,POINT (130.711764 -25.354932),Allocasuarina decaisneana Early Mature (>6m V branches),Early_Mature,Tree,100,97.5,72.5,20220807_153842_GS010327,plot_06_new,20220807_153842_GS010327_Frame_001525
Scorer_3,##------ Fri Jun 23 11:39:46 2023 ------##,pin_19,20220807_153842_GS020327_Frame_000249_with_overlay.jpg,marker,NA,POINT (130.712188 -25.353453),Allocasuarina decaisneana Early Mature (>6m V branches),Early_Mature,Tree,100,87.5,87.5,20220807_153842_GS020327,plot_06_new,20220807_153842_GS020327_Frame_000249
Scorer_3,##------ Fri Jun 23 11:42:30 2023 ------##,pin_20,20220807_153842_GS020327_Frame_000282_with_overlay.jpg,marker,NA,POINT (130.712365 -25.353211),Allocasuarina decaisneana Early Mature (>6m V branches),Early_Mature,Tree,100,87.5,87.5,20220807_153842_GS020327,plot_06_new,20220807_153842_GS020327_Frame_000282
Scorer_3,##------ Thu Jun  8 11:46:28 2023 ------##,pin_33,20220807_143317_GS010324_Frame_000096_with_overlay.jpg,marker,NA,POINT (130.713019 -25.351854),Allocasuarina decaisneana Early Pole (4-6m crown forming),Early_Pole,Tree,100,87.5,87.5,20220807_143317_GS010324,plot_06_new,20220807_143317_GS010324_Frame_000096
Scorer_3,##------ Thu Jun  8 12:51:34 2023 ------##,pin_20,20220807_145534_GS010325_Frame_000189_with_overlay.jpg,marker,NA,POINT (130.716951 -25.346632),Allocasuarina decaisneana Early Pole (4-6m crown forming),Early_Pole,Tree,100,100,97.5,20220807_145534_GS010325,plot_06_new,20220807_145534_GS010325_Frame_000189
Scorer_3,##------ Tue Jun 13 14:50:08 2023 ------##,pin_11,20220807_152153_GS010326_Frame_000274_with_overlay.jpg,marker,NA,POINT (130.723576 -25.351946),Allocasuarina decaisneana Early Pole (4-6m crown forming),Early_Pole,Tree,100,97.5,87.5,20220807_152153_GS010326,plot_06_new,20220807_152153_GS010326_Frame_000274
Scorer_3,##------ Tue Jun 13 14:52:46 2023 ------##,pin_12,20220807_152153_GS010326_Frame_000288_with_overlay.jpg,marker,NA,POINT (130.723539 -25.351975),Allocasuarina decaisneana Early Pole (4-6m crown forming),Early_Pole,Tree,100,87.5,72.5,20220807_152153_GS010326,plot_06_new,20220807_152153_GS010326_Frame_000288
Scorer_3,##------ Tue Jun 13 14:54:34 2023 ------##,pin_15,20220807_152153_GS010326_Frame_000304_with_overlay.jpg,marker,NA,POINT (130.723501 -25.352304),Allocasuarina decaisneana Early Pole (4-6m crown forming),Early_Pole,Tree,100,100,97.5,20220807_152153_GS010326,plot_06_new,20220807_152153_GS010326_Frame_000304
Scorer_3,##------ Thu Jun  8 11:38:32 2023 ------##,pin_32,20220807_143317_GS010324_Frame_000112_with_overlay.jpg,marker,NA,POINT (130.712939 -25.351689),Allocasuarina decaisneana Juvenile (1-4m),Juvenile,Tree,100,100,87.5,20220807_143317_GS010324,plot_06_new,20220807_143317_GS010324_Frame_000112
Scorer_3,##------ Thu Jun  8 11:38:32 2023 ------##,pin_31,20220807_143317_GS010324_Frame_000112_with_overlay.jpg,marker,NA,POINT (130.712923 -25.351678),Allocasuarina decaisneana Juvenile (1-4m),Juvenile,Tree,100,100,97.5,20220807_143317_GS010324,plot_06_new,20220807_143317_GS010324_Frame_000112
